Date,GloveSizeGroup,GloveSize,RawIntD,LoadingWeight,ContactNumber,Surface,Gloves,Gender,ID,PowderArea
09/07/2019,Small,S,2686212,292.5343086,2,Cloth,Y,Female,10,28.653
09/07/2019,Small,S,1740514,83.3591,2,Glass,Y,Female,10,32.847
09/07/2019,Small,NA,4343474,103.8505,2,Plastic,N,Female,10,52.392
09/07/2019,Small,NA,4741408,84.4403,2,Cloth,N,Female,10,85.085
09/07/2019,Small,NA,2135921,57.3496,2,Glass,N,Female,10,50.629
09/07/2019,Small,S,2401645,291.8792152,3,Plastic,Y,Female,10,20.167
09/07/2019,Small,S,2336049,256.4421215,3,Cloth,Y,Female,10,35.016
09/07/2019,Small,S,1156350,65.7907,3,Glass,Y,Female,10,28.649
09/07/2019,Small,NA,4364509,90.8458,3,Plastic,N,Female,10,36.619
09/07/2019,Small,NA,3410087,90.0505,3,Cloth,N,Female,10,59.213
09/07/2019,Small,NA,2314262,77.8383,3,Glass,N,Female,10,49.048
09/07/2019,Small,S,2148500,198.7936,4,Plastic,Y,Female,10,23.995
09/07/2019,Small,S,1365211,223.9736049,4,Cloth,Y,Female,10,45.095
09/07/2019,Small,S,1480830,123.0717,4,Glass,Y,Female,10,17.014
09/07/2019,Small,NA,3446852,85.4094,4,Plastic,N,Female,10,50.117
09/07/2019,Small,NA,3978357,75.0571,4,Cloth,N,Female,10,64.596
09/07/2019,Small,NA,3051612,89.7274,4,Glass,N,Female,10,54.275
09/07/2019,Small,S,379750,282.5770949,5,Plastic,Y,Female,10,20.579
09/07/2019,Small,S,877131,260.4309888,5,Cloth,Y,Female,10,17.946
09/07/2019,Small,S,1456344,60.8802,5,Glass,Y,Female,10,11.033
09/07/2019,Small,NA,2181337,111.3433,5,Plastic,N,Female,10,35.8
09/07/2019,Small,NA,3352338,136.7879,5,Cloth,N,Female,10,48.116
09/07/2019,Small,NA,1597639,108.3847,5,Glass,N,Female,10,49.431
09/07/2019,Large,L,5362368,253.2840299,1,Plastic,Y,Male,11,72.947
09/07/2019,Large,L,4899236,281.2302134,1,Cloth,Y,Male,11,63.909
09/07/2019,Large,L,5184342,196.533,1,Glass,Y,Male,11,67.447
09/07/2019,Large,NA,5004644,42.0384,1,Plastic,N,Male,11,68.524
09/07/2019,Large,NA,6202238,67.2368,1,Cloth,N,Male,11,65.869
09/07/2019,Large,NA,10034781,99.1821,1,Glass,N,Male,11,97.155
09/07/2019,Large,L,2570859,111.7857,2,Plastic,Y,Male,11,34.195
09/07/2019,Large,L,4050511,231.4569332,2,Cloth,Y,Male,11,52.45
09/07/2019,Large,L,4389994,248.223522,2,Glass,Y,Male,11,63.647
09/07/2019,Large,NA,3548209,113.1517,2,Plastic,N,Male,11,49.369
09/07/2019,Large,NA,6795759,78.9228,2,Cloth,N,Male,11,75.59
09/07/2019,Large,NA,5378355,61.7778,2,Glass,N,Male,11,55.412
09/07/2019,Large,L,1642977,259.1685883,3,Plastic,Y,Male,11,34.64
09/07/2019,Large,L,5119395,225.9718274,3,Cloth,Y,Male,11,64.259
09/07/2019,Large,L,4226122,261.4420136,3,Glass,Y,Male,11,59.615
09/07/2019,Large,NA,4490716,264.8068303,3,Plastic,N,Male,11,65.237
09/07/2019,Large,NA,2860747,120.0705,3,Cloth,N,Male,11,34.1
09/07/2019,Large,NA,5277601,84.0654,3,Glass,N,Male,11,60.556
09/07/2019,Large,L,2246565,229.8379928,4,Plastic,Y,Male,11,40.799
09/07/2019,Large,L,9006739,227.8585786,4,Cloth,Y,Male,11,108.496
09/07/2019,Large,L,2204422,166.7284,4,Glass,Y,Male,11,34.891
09/07/2019,Large,NA,1298674,82.9423,4,Plastic,N,Male,11,24.671
09/07/2019,Large,NA,5509305,198.3848,4,Cloth,N,Male,11,65.615
09/07/2019,Large,NA,4570912,113.3224,4,Glass,N,Male,11,57.096
09/07/2019,Large,L,1914899,243.1496117,5,Plastic,Y,Male,11,46.002
09/07/2019,Large,L,8261451,282.7069767,5,Cloth,Y,Male,11,97.948
09/07/2019,Large,L,3012565,138.049,5,Glass,Y,Male,11,44.557
09/07/2019,Large,NA,631411,80.5331,5,Plastic,N,Male,11,13.649
09/07/2019,Large,NA,3362854,128.6238,5,Cloth,N,Male,11,52.757
09/07/2019,Large,NA,3073872,113.4223,5,Glass,N,Male,11,36.47
09/07/2019,Large,L,9195728,5.5421,1,Plastic,Y,Male,12,77.054
09/07/2019,Large,L,6838704,107.3743,1,Cloth,Y,Male,12,68.408
09/07/2019,Large,L,4490211,213.5999,1,Glass,Y,Male,12,48.175
09/07/2019,Large,NA,3675135,169.8826,1,Plastic,N,Male,12,46.386
09/07/2019,Large,NA,4381182,188.137,1,Cloth,N,Male,12,45.348
09/07/2019,Large,NA,5241383,169.667,1,Glass,N,Male,12,48.951
09/07/2019,Large,L,658939,6.7669,2,Plastic,Y,Male,12,7.144
09/07/2019,Large,L,3588122,120.8723,2,Cloth,Y,Male,12,38.633
09/07/2019,Large,L,2021009,83.4118,2,Glass,Y,Male,12,23.732
09/07/2019,Large,NA,2152867,269.5864158,2,Plastic,N,Male,12,29.067
09/07/2019,Large,NA,2681830,167.6245,2,Cloth,N,Male,12,29.342
